state_nm,Arson,Attempt to murder,CH not amounting to murder,Cheating/Criminal breach of trust/Counterfeiting,Dacoity/Robbery/Theft/Burglary,Harrasment,Hurt,Kidnapping(Children),Kidnapping(Total),Kidnapping(Women),Murder,Others,Rape(Custodial),Rape(Others),Rape(Total),Riots,Theft(Auto),Theft(Other),Total Cognizable Under IPC,year
Andaman & Nicobar Island,0.0,0.0,0.0,0.0,0.17,0.0,0.04,0.0,0.0,0.0,0.37,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.07,2001
Andhra Pradesh,1.64,2.21,0.0,0.0,27.41,25.68,7.05,13.04,4.03,0.0,2.78,10.610000000000001,0.0,3.95,3.95,1.5,6.83,13.25,6.04,2001
Arunanchal Pradesh,0.0,0.0,0.0,0.0,23.270000000000003,1.04,0.44,0.0,0.0,0.0,0.19,0.19,0.0,1.19,1.19,0.0,0.49,0.99,0.58,2001
Assam,1.64,0.0,0.0,3.48,6.84,0.0,0.24,0.0,0.0,0.0,0.56,0.0,0.0,0.79,0.79,0.66,1.14,3.74,1.07,2001
Bihar,0.0,2.72,0.0,0.87,12.669999999999998,0.0,1.05,0.0,0.0,0.0,1.67,9.68,0.0,2.37,2.37,6.38,0.81,1.64,2.44,2001
Chandigarh,0.0,0.0,0.0,0.0,3.0,0.17,0.28,0.0,0.67,0.97,0.0,0.11,0.0,0.0,0.0,0.05,0.16,0.88,0.28,2001
Chhattisgarh,1.64,3.57,7.89,0.0,26.480000000000004,10.600000000000001,3.9,0.0,8.72,12.62,6.31,10.82,0.0,12.25,12.25,2.53,6.67,5.22,5.05,2001
Dadara & Nagar Havelli,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.01,2001
Daman & Diu,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2001
Delhi,0.0,2.55,7.89,10.17,25.060000000000002,4.99,1.23,13.04,8.72,6.8,7.79,11.01,0.0,4.94,4.94,0.99,9.59,6.94,3.46,2001
Goa,3.28,1.19,0.0,0.0,3.51,0.35,0.04,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.33,0.81,0.42,0.28,2001
Gujarat,6.56,5.61,0.0,17.85,32.11,4.67,12.75,6.52,22.82,30.1,6.86,44.79,0.0,1.78,1.78,10.46,33.5,7.19,11.09,2001
Haryana,1.64,7.82,28.95,80.91,103.57999999999998,14.92,7.32,17.39,9.4,5.83,8.35,31.31,0.0,7.51,7.51,6.1,5.37,2.7,5.82,2001
Himachal Pradesh,3.28,0.17,0.0,0.0,1.1300000000000001,0.17,0.48,0.0,2.01,2.91,0.0,0.6,0.0,1.38,1.38,1.17,0.33,0.21,0.55,2001
Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2001
Jharkhand,0.0,5.27,2.63,20.59,7.58,3.44,0.02,4.35,5.37,5.83,8.35,0.31,0.0,7.91,7.91,0.7,0.0,1.71,1.21,2001
Karnataka,0.0,0.51,0.0,2.61,18.16,1.3599999999999999,8.48,0.0,0.0,0.0,2.78,9.97,0.0,1.38,1.38,0.94,1.46,2.13,2.94,2001
Kerala,4.92,0.51,0.0,0.0,1.9300000000000002,0.0,0.11,0.0,0.0,0.0,0.56,0.81,0.0,0.59,0.59,1.13,0.49,0.57,0.54,2001
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
Madhya Pradesh,32.79,26.19,28.95,57.59,44.11,82.8,28.67,10.87,11.41,11.65,19.67,102.25999999999999,0.0,33.2,33.2,12.9,2.28,9.32,23.76,2001
Maharashtra,27.87,10.37,10.53,54.91,119.35,22.77,19.67,8.7,10.07,10.68,16.88,90.2,0.0,11.26,11.26,23.32,14.31,25.79,17.51,2001
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001
Meghalaya,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,1.11,0.35,0.0,0.2,0.2,0.0,0.0,0.6,0.28,2001
Mizoram,0.0,0.0,0.0,0.0,0.62,0.17,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.2,0.2,0.0,1.14,0.16,0.13,2001
Nagaland,0.0,0.0,0.0,0.0,1.02,0.0,0.02,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.21,0.09,2001
Odisha,0.0,0.85,0.0,1.74,6.36,0.0,0.26,0.0,0.0,0.0,0.37,1.7,0.0,1.38,1.38,0.94,0.0,1.9,0.9,2001
Puducherry,0.0,0.0,0.0,0.0,0.04,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,2001
Punjab,0.0,0.0,0.0,0.87,0.2,0.35,0.02,0.0,1.34,1.94,0.0,1.7600000000000002,0.0,0.2,0.2,0.0,0.0,0.18,0.1,2001
Rajasthan,11.48,15.99,2.63,47.56,19.71,18.26,7.36,26.09,14.77,9.71,9.28,45.14,0.0,4.94,4.94,28.72,11.22,6.03,12.22,2001
Sikkim,0.0,0.0,0.0,0.0,0.16999999999999998,0.84,0.0,0.0,0.0,0.0,0.74,0.05,0.0,0.2,0.2,0.0,0.0,0.1,0.06,2001
Tamil Nadu,0.0,14.29,0.0,0.0,10.52,4.55,0.33,0.0,0.0,0.0,2.04,3.1500000000000004,0.0,0.2,0.2,0.8,2.44,7.04,2.65,2001
Tripura,3.28,0.17,0.0,0.0,0.1,0.17,0.07,0.0,0.0,0.0,0.37,0.06,0.0,0.0,0.0,0.19,0.0,0.03,0.08,2001
Uttar Pradesh,0.0,0.0,10.53,0.87,1.99,1.68,0.15,0.0,0.67,0.97,2.78,21.200000000000003,0.0,2.17,2.17,0.09,0.65,0.7,0.64,2001
Uttarakhand,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2001
West Bengal,0.0,0.0,0.0,0.0,1.1099999999999999,0.0,0.0,0.0,0.0,0.0,0.19,0.16,0.0,0.0,0.0,0.0,0.0,0.31,0.11,2001
